0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,27700,29800,29800,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,32600,32600,32600,32600,32600,32600,34300,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35900,35900,35900,35900,35900,35900,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36400,36400,36400,36400,37500,37900,37900,37900,37900,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400,38400
25000,25000,25000,25200,25200,25200,25200,25200,25200,25200,25200,25200,27400,27400,27400,28100,28200,28200,28200,28800,28800,28800,28800,28800,28800,30600,30600,30600,30600,30600,30700,30700,30700,30700,30800,30800,30800,30800,31100,31200,31200,40800,40800,40800,40800,40800,40800,40800,40800,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41100,41100,41100,41100,41100,41100,41100,41900,41900,41900,41900,42200,42600,43100,43100,44400,44400,44400,44400,44400,44400,44400,44800,44800,44800,44800,44800,45000,45000,45000,45000,46800,46800,47500
21800,21800,23300,23300,23300,23300,23300,23900,28800,28800,28800,28800,28800,30400,30400,30400,34500,34500,34500,34500,34500,34500,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36800,36800,36800,36800,36900,36900,36900,36900,37000,38500,38500,38500,38500,38500,38500,38500,38600,38600,38600,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,42400,42400,42400,42400,42400,42400,42400,42700,43700,43700,43700,43700,43700,43700,43700,44100,44100,44100,44100,44100,44100,45300,45300,45300,45300,45300,45500,45500,45500
20900,20900,20900,22900,27300,27300,27300,27300,29500,29500,29500,29500,29500,30600,30600,30600,31400,32200,32200,32200,32200,32200,32200,34100,34200,34200,34200,36100,36100,36100,36100,36100,36100,37100,37200,38700,38700,38700,38700,39100,39100,39100,39100,39100,39100,39100,39100,39700,39700,39700,39700,39700,39800,39800,39800,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,43300,43300,43300,43300,43300,43300,43300,43300,43300,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700,44700
18700,20400,20500,22100,22100,22100,24800,24800,24800,24800,25600,27200,27200,27200,27200,29200,29200,29200,29200,29200,29200,29600,29800,29800,30800,32600,32600,32600,32600,32700,33000,33000,33000,33000,33000,33000,33000,33100,33500,33500,33500,34800,34800,34800,34800,34800,34900,38000,38000,38000,38200,38200,38200,38200,38200,38200,38300,38300,38300,38300,39600,39600,39600,39600,41300,41300,41300,42300,42300,42300,42300,42300,42300,42300,42300,42300,42300,43400,43400,43400,43400,43400,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43600,43600,43600,43600,43600
23500,25000,25000,25000,25800,25800,28100,28100,28100,28100,28100,28100,28100,28100,28600,28600,28600,28600,28600,30400,30500,30500,30500,30500,30500,30500,30500,30500,32300,32300,32300,32300,32800,33200,33200,33200,33200,33200,33200,34000,34000,36400,36400,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,39800,39800,39800,39800,39900,39900,39900,39900,41100,41100,41100,41200,41200,42900,42900,42900,42900,43600,43600,43600,43600,43600,43800,43800,43800,45100,45100,45100,45100,45100,45100,45100,45100,45100,45200,45200,45300,47100,47100,47100,47100,47100,47100,47700,47700,47700
22900,22900,22900,22900,22900,22900,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,26600,27300,27700,27700,28000,28000,28000,28200,28200,28200,28200,29400,32100,33500,33500,33500,35100,36000,36000,36100,36100,36200,36200,36200,36200,36200,36900,36900,38000,38000,38000,38000,39000,39000,39800,39800,39900,39900,39900,41400,41400,41400,41400,41400,41700,41700,41700,42000,43200,43200,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,44500,44500,44500,44900,44900,44900,44900,44900,44900,44900,44900,44900,46300,46300,46300,46300,46300
22700,24000,24000,24000,24000,24000,25200,25200,25200,27700,27700,27700,27900,27900,27900,28500,28500,28500,29700,29700,29700,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,33700,33700,34400,34500,34500,34500,34500,36400,36400,36400,36400,36400,36400,37300,37300,37300,37300,37300,37600,37600,37600,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,39900,39900,39900,40800,40800,40800,40800,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42400,42500,42500,42500,42500,42500,42500,42500,42500,42500
20100,23600,23600,23900,24000,24000,24000,24000,24000,24000,25200,30800,30800,30800,31100,31100,31100,31700,31700,31700,31700,31700,31700,31700,31700,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,33100,33100,33100,34300,34300,34300,34300,34300,34300,34300,34300,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,38100,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,39200,39300,40200,40200,40200,40200,40200,40200,41000,41000,41000,41000,41000,41000,44000,44000,44000,44000,44000
24300,24300,26100,26100,26100,26100,26600,26600,26600,26600,26600,26600,26600,26600,27400,28000,29200,29200,29200,29200,29200,29200,29200,29200,29200,30400,30400,30400,30400,30400,30400,30400,30400,30400,32800,32800,32800,32800,33600,33600,33600,33600,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,36000,36100,36100,36100,36500,36500,36500,36500,36500,36500,36500,36500,37000,37000,38900,38900,38900,40900,40900,40900,40900,40900,42300,42300,42300,43100,43100,44000,44000,44000,44000,44000,44000,44000,44800,44800,44900,44900,45300,45300,45300,45300,46000,46000,46000,46000,46000
