0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
24300,24300,25600,25600,25600,27000,27300,27300,28000,29000,29600,33000,33000,33000,34000,34100,34100,34400,34400,34400,34500,34500,34700,34700,35300,35300,35300,35300,35300,35300,36500,36500,36500,37500,37700,38200,38200,38600,38600,38600,38600,38600,38600,38600,38600,39400,39400,39400,39400,39400,41600,41600,41700,41700,41700,41700,41700,41700,41700,42000,42000,42000,42100,42100,42100,42100,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42900,42900,42900,42900,42900,42900,42900,42900,43000,43000,43000,43000,43000,44000,44000,44000,44000,44200,44200,44200,44200
21800,25100,27800,27800,27800,27800,27800,28400,28400,28400,28400,28500,31400,31700,31700,31800,35500,35500,35500,35900,37100,37200,39300,41500,41500,43300,43300,44600,44600,44700,46000,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,46400,48300,48400,48400,48400,48400,48400,48400,48400,48400,48400,48400,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,51300,51300,51300,51300,51300,52700,52700,52700,52700,52700,52700,52700,52700,52700,53400,53400,53400
22300,22300,22300,22300,25300,25300,25300,26000,27100,27100,28300,34100,34300,34500,35700,35800,36300,36300,37800,37800,37800,37800,41000,41000,41000,41000,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,41900,42000,42100,42100,42100,42100,42100,42300,42300,42300,42300,44100,44100,44100,44100,44100,44100,45200,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,47400,47400,47400,47500,47500,47500,47500,47500,48500,48600,48600,48600,48600,48600,48600,48600
24000,24000,28200,28200,28200,28200,28200,32400,32400,32400,32400,32400,32400,32400,32400,32500,33100,33100,33800,36800,36800,36800,36800,37300,37300,37300,37300,38800,39900,40800,40800,40800,40800,40800,40800,40800,40800,41700,41700,42600,42600,42600,42800,42800,42800,43200,43200,43200,43200,43200,43200,44100,44100,44100,44600,45500,45500,45500,45500,45500,45500,45500,45700,45700,45700,45700,45700,45700,45700,46600,46600,46900,46900,48500,48500,48500,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48600,48800,48800,48800,48800,48800,48800,48800,48900,49800
25800,25800,25800,29000,29000,31400,31400,31900,31900,34100,34100,34100,34100,35600,35700,35700,35900,35900,37800,38400,39400,39400,40300,40300,41000,41000,41200,41200,42400,42800,43900,43900,44600,46100,46100,46100,48000,48200,48400,48400,48400,48600,48600,50100,50100,50900,50900,50900,50900,50900,50900,52900,52900,52900,52900,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53200,53200,53200,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900,53900
21300,25200,28900,30300,30300,30300,30300,30800,30800,30900,31500,31500,34900,35200,35200,35200,35200,35200,35200,36700,36700,36700,38500,39400,39900,40600,40600,41000,41000,41300,41700,41700,41700,42500,43000,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,45100,45100,45100,45100,45100,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200
22200,23300,23300,23300,27300,27300,28100,30200,30200,30200,30200,30200,30200,32600,32600,32600,33400,33400,33400,33400,34100,34100,35400,35400,35400,35400,35400,35400,35400,35400,37300,37300,37300,37300,37300,37300,37300,37300,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38400,38400,38400,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,39400,39400,39400,40700,40700,40700,40700,41300,42000,42000,42600,42600
23600,23600,25800,25800,29200,29200,29200,29200,29200,30500,30500,30500,30600,31500,31500,33400,33400,33400,33400,33400,36300,36300,37000,37400,37400,37400,37400,37400,38900,38900,38900,38900,39200,39200,39200,41800,41800,41800,41900,42600,44000,44100,44100,44100,44100,44100,44400,45800,45800,45800,48500,50300,50300,50300,50300,50300,51000,51700,51700,51700,52400,52400,52400,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600,52600
23200,23400,23400,23400,23400,24500,28200,29000,30600,30600,31500,31500,33300,33300,33300,34000,34100,35100,35900,35900,35900,35900,35900,36200,36200,37400,37400,39100,39100,39100,39100,39100,40500,41100,41100,42000,42000,42000,42000,42100,42100,42100,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,43400,43400,43900,43900,43900,43900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900,44900
22700,22700,23500,28600,28600,30500,30500,30500,31300,35100,35100,35700,35700,35700,35700,36100,36400,37500,37800,37800,38400,38400,38400,38400,39000,39200,39200,39400,39400,39400,39400,40000,40300,40300,40300,41400,41400,41400,41400,41400,41400,41800,41800,41800,41800,41800,41800,42600,42600,42600,44100,44100,44100,44100,44100,44100,44800,44800,46200,46200,46200,46200,46200,46400,46400,46400,46400,46400,46400,46400,46400,46400,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,47200,48100,48100
22300,24100,24100,24100,24100,27700,27700,27700,27700,28200,29100,29100,29400,29400,29400,29400,29600,29800,29800,29800,31300,33100,35000,35000,35000,35000,35000,35000,38700,38700,38700,38700,38700,41200,41200,41200,41200,41200,42800,42800,42800,42800,42800,42800,42800,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,44600,45400,45400,45400,45400,45400,45400,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45500,45600,45600,45600,45600,45600,45700,45700,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800
22200,25800,26400,26400,28900,28900,28900,28900,29800,29800,30900,33200,34100,34100,34100,34100,34700,35300,35300,35300,39300,39300,39300,39300,41300,41400,41400,41400,41400,41900,41900,42400,42400,42400,42400,44700,44700,44700,44700,44700,44700,44700,44800,45300,45300,45300,45300,45300,45300,45300,45300,46700,46800,46800,46800,46800,46800,46800,46800,48600,48600,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,50800,50800,50800,50800,50800,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51000,51500,51500,51500,51500,51500,51500,51500,51500,51500
26900,26900,26900,27900,28700,29500,29500,29500,29500,29500,29500,29500,31800,31800,33300,33300,33300,33300,33300,34300,34300,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,37500,37500,37500,38600,38600,38600,38600,38600,38600,38600,38600,40100,40100,40100,40100,40400,40400,40400,40400,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,40500,42300,42300,42300,42300,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900
