0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
21700,21700,26200,26200,29300,29300,29300,29300,29300,30300,30300,31400,34100,34100,34100,34800,34800,34800,34800,34800,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700,37700
20000,24300,24300,27800,27800,28000,29700,29700,29700,30200,30700,30700,32000,32000,32500,32500,32500,32500,32500,32500,32500,32500,32800,32800,32800,32800,32800,32800,32800,32800,32800,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,35000,35000,35000,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500
24900,24900,25100,27000,27000,28800,28800,28900,29200,30000,31100,33100,33100,33100,33100,33100,34700,34700,34700,34700,38400,38400,38400,38400,38400,38400,38400,38400,38400,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,38500,39300,39300,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400
24600,27000,27000,32000,32000,33100,33100,35000,35000,35000,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,36200,36200,36200,36200,36200,36200,36200,36200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,39400,39400,39400,39400,39400,39400
28600,28600,29000,29000,31200,31200,31200,34100,34100,34100,34100,34100,34100,34500,34500,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37700,37700,37700,37700,37700,37700,37700,38600,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800
22600,24400,25100,25100,28300,28300,29400,29400,30100,31900,31900,33700,33700,33700,33700,33700,33700,36200,36200,37700,37700,37700,37700,37700,37700,39800,39800,39800,40200,40200,40200,40200,40200,40200,40200,40200,40200,41200,41200,41200,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,43100,43100,43100,43100,43100,43100,43100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100,44100
19600,21800,24200,24200,24200,25400,27700,27700,28800,28800,28800,28800,29100,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29200,29900,29900,29900,29900,29900,29900,29900,30600,30700,30700,31500,31500,31500,31500,31500,31500,31800,31800,32100,32100,32100,32100,32100,32900,33100,33100,33800,33800,33800,33800,33800,33800,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,35100,36500,36500,36500,36500,36500,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200
22300,24500,26700,26900,28100,30300,30300,31100,31200,35100,35100,35800,35800,35800,37100,37100,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39400,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39500,39700,39700,41000,41000,41000,41000,41000,41000,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,41400,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42700,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900
19500,21100,25400,25500,26300,29300,29300,30300,30300,30300,30300,32100,32100,33800,33800,33800,33800,33800,33800,35700,35700,35800,35800,35800,37200,37200,37200,37200,37200,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,39600,39600,39600,39600,39600,39600,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,41500,41500,41600,41600,41600,41600,41600
21300,23200,26000,26000,26700,26700,26700,26700,26700,26700,26700,26700,26700,27100,27100,27100,27100,27200,27200,30200,30200,30200,30200,30200,30200,30200,30200,30200,31200,31200,31200,31200,33300,33300,33300,33300,33300,33300,33300,33300,33300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,35800,35800,35800,35800,35800,35800,36900,36900,36900,36900,37500,37500,38300,38300,38300,39700,39700,39700,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400
25300,26800,26800,27400,27400,28000,28000,29800,29800,31800,31800,31800,31800,31800,31800,32300,33800,33800,33800,33800,33800,33800,33800,33800,33800,34600,34600,34600,34600,34600,34600,35000,35000,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35500,35500,35500,35500,35500,35500,35500,35500,35500,35500,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36500,36500,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
28500,28500,30700,30700,32600,35300,35300,35300,35300,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
18700,23200,23800,24200,25700,25800,26000,32300,32300,32700,32700,32700,32700,32700,33700,33700,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,36800,36800,36800,36800,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,38000,38000,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,43600,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100
