0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
25000,25000,25000,25000,25000,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,29200,29400,29400,30300,31300,31300,31300,31300,31300,31300,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,34000,34000,34000,35200,35200,35200,35200,35200,35200,35200,35200,35800,35800,35800,35800,35800,35800,35800,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
22700,22700,22700,23200,23200,23200,23200,23400,25000,25000,25000,25000,25000,25000,25000,25100,25500,25500,25500,25800,26000,26000,26000,26400,26400,27400,27400,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,32700,32700,32700,32700,32700,32700,32700,32700,32900,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,35200,35200,35200,35200,35200,35300,35300,35300,35300,36300,36300,36300,36300,36300,36300,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,36400,38200,38200,38200,38200,38200,38200,38200,38200,38500,39300,39300,39300,39300,39300,39300,39300
20200,20200,20400,20400,20400,21000,21000,21400,21400,21400,22400,25100,27900,27900,27900,27900,27900,28500,28900,28900,28900,28900,28900,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,32900,33000,33000,33000,33000,33000,33000,33000,33000,33000,35100,35100,35100,35100,35100,35100,35300,36100,36100,36200,36300,36300,36800,36800,38800,38800,38800,38800,38800,39300,39300,39300,39800,39800,39800,39800,39900,40600,40600,40600,40600,40600,40600,40600,40600,40800
17700,17900,23900,23900,23900,24800,24800,28400,28400,28400,28500,28500,28800,28800,29400,30000,30000,30000,30100,30100,30900,30900,30900,30900,31000,31000,31000,31000,31000,31000,31000,31000,31100,31100,31100,31100,31100,31100,31500,31500,31500,31700,31700,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800
20900,20900,20900,20900,20900,20900,20900,21100,21100,23900,25600,28000,28000,28000,28000,29300,29300,29300,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,30600,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,31400,32100,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32300
23200,23200,23200,23200,23200,23200,25400,25400,25400,25400,25400,25400,25400,25400,25400,25400,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,25700,28400,28400,28400,28400,28400,28900,29100,29100,29100,29100,29100,30400,30400,30400,30400,30400,31100,31100,31100,34800,34800,34800,34800,35100,35100,35100,35100,35100,35100,38500,38500,38500,38500,38500,38500,38500,38500,38700,38700,38700,40200,40200,40200,40200,40200,40200,40200,40400,40400,41100,41100,41700,41700,41700,41700,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400
20100,20100,23200,23200,23200,23200,23200,23200,23200,23200,24100,24100,24100,24100,24100,27900,29200,29200,29200,29200,29200,29200,29200,30400,30400,30400,30400,30400,30400,30500,30500,30500,30500,31300,31300,31300,31300,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,33700,33700,33700,33700,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
20000,20000,21000,21000,22400,22400,24600,24600,24600,24600,24600,24600,25500,25500,25500,25500,25500,25500,25500,25500,25500,25800,25800,25800,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28200,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,28400,29400,29400,29400,29400,29900,31300,31300,31300,31300,31300,33900,33900,33900,33900,33900,33900,33900,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34100,34100
20700,20700,21100,21100,21400,21400,21400,21400,21400,21400,21400,21400,24800,24800,24900,25900,25900,25900,27500,27600,29300,29300,29300,29300,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,34100,34100,34100,34100,34100,34100,34100,34100,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800
22100,22400,22400,22400,23700,23700,23700,23700,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,30800,30800,31600,31600,31600,31600,31600,31600,31700,31700,31700,32600,32600,32600,32600,32600,32600,32600,32600,32600,32600,34100,35000,35000,35000,35000,35000,35000,35000,35000,35400,35400,35900,35900,35900,35900,35900,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,38800,38800,38800,38800,38800,38800,40200,40200,40200,40200,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300,41300
22200,22700,22700,22700,22700,22700,26900,26900,26900,26900,26900,26900,26900,26900,26900,27300,27800,29200,31300,31900,33700,33700,33800,33800,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,35200,35200,35200,35200,35200,35500,35500,35500,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,36900,37100,37100,37100,37100,37100,37500,38200,38200,38200,38200,38200,38200,38200,38200,39100,41100,41100,41100,41100,41100,41100,41100,41100,42400,42400,42400,42400,42400,42400,42400,42400,43400,43400,43400,43400,43400,43400,44100,44100,44100,44100,44100,44100,44100,44100
22500,22500,22500,22500,22500,22500,22500,22500,23100,23100,23100,23100,23100,23100,23100,23100,23100,23100,23700,24600,24600,24600,24600,25300,26000,26000,26800,26800,26800,27200,27200,28300,28300,28300,28300,28300,28300,32800,32800,32800,33400,33400,33400,33500,33500,34800,34800,34800,34800,34800,34800,34800,34800,38600,38600,38600,38600,38600,38600,38600,38600,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800
21600,21600,23300,24400,24400,25100,25100,26800,26800,26800,26800,26800,26800,29700,29700,32400,32400,32400,32400,32400,32400,32400,32400,32400,32400,32600,32600,32600,32600,32600,32600,32600,32600,32600,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,32700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,33700,34100,34800,34800,34800,34800,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900
22100,22100,22100,23500,23500,23500,23500,23500,23500,23500,23500,23500,23500,23500,23600,25400,26000,26000,26000,26000,26000,26000,27400,29500,29500,29500,29500,31700,31700,31900,31900,31900,31900,31900,31900,31900,31900,31900,33300,33300,33300,33300,33300,33300,33300,33900,33900,33900,33900,33900,34300,34300,34300,35300,35300,35600,35600,35600,35600,36700,36700,37600,37600,37600,38800,38800,38800,38800,38800,38800,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,38900,39000,39000,39000,39000,39000,39000,39000,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100
21200,21200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,26500,26500,26500,27000,27000,31700,31700,31700,31700,31700,31900,33500,33500,33500,33500,33500,33500,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,34300,34300,34300,34300,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34600,34600,34600,34800,34800,34800,34800,34800,34800,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36500,36500,36500,36500,36500
28400,28400,28400,28400,28400,28800,28800,28800,28800,28800,28800,28800,28800,30800,30800,30800,30800,30800,30800,30800,31700,31700,31700,31700,31700,31900,32200,32200,32700,33200,33200,33200,34500,34500,35000,35000,35600,35600,35600,35700,35700,35700,37200,37300,37300,37300,37300,37300,37300,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37600,37700,37700,37900,37900,37900,37900,37900,37900,37900,37900,38200,38200,38200,38300,38300,38300,38300,38500,38500,38500,38500,38500,38500,38500,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600
21000,23400,23400,23400,23400,23400,23400,23400,24400,24400,24400,24400,24800,27000,27000,27000,27000,27000,27000,27000,27000,28800,28800,28800,28800,28800,28800,28800,28800,28800,29800,29800,29800,29800,29800,29800,29800,29800,31100,31100,31100,31700,31700,31700,31700,31700,31700,31900,31900,31900,31900,32200,32200,32200,32200,32200,32300,32300,32300,32300,32300,33000,33000,33000,33800,34300,34300,34300,34300,34300,34300,34300,34400,34400,34400,34400,34400,34400,34700,34800,34800,34800,34800,34800,35900,35900,36800,36800,36800,36800,36800,36800,36800,36800,38000,38000,38000,38000,38000,38000
