0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20100,21800,21800,21800,21800,23600,23600,25100,25100,25100,25100,25100,26800,26800,26800,26800,26800,26800,26800,26800,26800,26800,28000,28000,28700,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32800,32800,32800,32800,33100,33100,33100,33100,33100,33600,33600,33600,35500,35500,35500,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,38000,38000,38000,38000,38000,38000
20500,22800,22800,22800,22900,22900,22900,24300,24400,26600,26600,26600,26600,27400,27400,27400,27400,27400,31000,31000,31000,31000,31900,31900,31900,31900,32100,32100,33300,33300,33300,33700,33700,33700,34700,34700,34700,34700,35300,35300,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36300,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,38400,38400,38400,38400,38400,38400,38900,38900,38900,38900,38900,39300,39300,39800,39800
21700,21700,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,23700,23700,23700,23700,23700,23700,23700,23700,23700,23800,25100,25100,25100,26600,26600,27700,30700,30700,30700,30700,30700,31100,31100,33200,33200,33200,33200,33200,33200,33200,34400,34400,34400,34400,34400,34400,34400,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,34800,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700
21600,21600,21600,21600,21600,21800,22900,23000,24000,24000,24000,24000,24300,26400,26400,26400,26400,27500,27500,27500,27500,27500,28100,28100,28100,29800,29800,29800,29800,29800,29800,29800,30300,30300,30300,30400,30400,30400,30600,30600,30600,30600,33000,33000,33000,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,34300,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
21300,21300,21700,21700,21700,21700,25300,25300,25800,25800,27900,27900,27900,27900,27900,28200,28200,28200,28200,31700,31700,31700,31700,33200,33600,33600,33600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,37500,37500,37500,37500,37500,37500,39400,39400,39400,39400
19200,21800,21800,21800,22200,22200,22200,24000,24900,24900,25000,25000,25000,25000,25700,25700,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,27100,28400,28400,28400,28400,28400,28400,28400,28400,28500,29500,30400,30400,30400,30400,30400,32100,32100,32200,32200,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34700,34800,34800,34800,34800,35400,35400,35400,35400,35400,35400,35400,35400,36100,36100,36100,36100,36100,36100,36100,36100,37400,37400,37400,37400,37400
22400,22400,22400,22400,23200,24200,24200,24400,24400,24600,24600,25600,26300,26300,26300,27600,27600,28000,28900,28900,28900,28900,28900,29000,29000,29000,29000,30900,30900,30900,30900,30900,30900,30900,30900,30900,30900,30900,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,34000,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34400,34400,34400,34400,34400,34400,34400,35900,35900,35900,35900,35900,35900,35900,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300,37300
22600,22600,24300,25600,25600,25600,25900,25900,25900,26500,26500,26500,28600,28600,28600,28600,28600,31200,32300,32300,34200,34900,37300,37700,37700,37700,37700,37700,37700,37800,38700,38700,38700,38700,38700,38700,38700,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,39100,39100,39100,39100,39100,39100,39100,39100,39100,40900,40900,40900,40900,41100,41100,41100,41100,41100,41100,41600,41600,41600,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,42800,43000,43000,43000,43000,43000,43000,43000,43000,43000
24400,24700,24700,24700,24700,24700,26400,26400,26400,27900,27900,27900,27900,27900,29300,29300,29300,29300,29300,30200,31500,31500,31500,31500,31500,31500,31500,32500,32500,32500,32500,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,34400,34400,35700,35700,35900,35900,35900,36100,36100,36100,36100,38400,38400,38400,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,39000,39000,39000,39000,39000,39000,39600,39600,39600,39700,39700,39700,39700,39700,39700,39700,39700,39700,39700,40600,40600,40600,40600,40600
24700,24700,26200,26200,26200,26200,26200,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,28100,30400,30400,30400,30400,30400,30400,30400,30800,30800,31100,31100,31100,31100,31200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33200,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33300,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400,33400
19900,20200,22700,22700,22700,23200,23200,23200,24800,24800,25900,25900,25900,28600,28600,28600,28600,28600,30000,30000,30000,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32100,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,36000,36000,36000,36000,36000,36000,36000,36300,36300,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,37700,37700,37700,39700,39700,39700,39700,39700,39700,39700
26100,26100,26400,26400,29400,29400,29400,29400,29400,29400,29400,29400,29700,29700,29700,29700,29700,29700,29700,29700,29700,29700,29700,31000,31000,31000,31000,31000,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,34100,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36700,36800,36800,36800,36800,36800,36800,36800,36800,36800,36800,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38800,38800
22300,25100,25100,25100,26000,28700,28700,28700,28700,28700,30500,32100,32100,32100,32100,32300,33900,33900,33900,33900,33900,33900,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,37100,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100
21600,21900,21900,22800,24300,25200,26200,27200,29400,29400,29400,29400,29400,31200,31200,31200,31200,31200,31400,31400,31400,32500,32500,32500,32500,32800,32800,32800,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,32900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,35000,35000,35000,35000,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,36300,36300,36500,36500,36500,37800,37800,37800,38100
21700,22300,23400,23800,24000,24000,25000,25000,26200,26200,26200,28000,28300,29700,29700,29700,29700,29700,31100,31100,31100,31100,31100,31100,31100,31100,31100,31500,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,35800,37100,37100,37100,37100,37100,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38200,38500,38500,38600,38600,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39400,39400,39500,39500,39500
22400,22400,22400,22400,22400,22600,22800,26900,26900,26900,26900,26900,26900,26900,26900,27000,27000,27000,28200,28200,28200,28200,29400,29400,29400,29400,29400,29400,29400,29900,29900,29900,29900,29900,29900,29900,32600,32600,32600,32700,32700,32700,32700,32700,33500,33500,33500,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,33900,34000,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,35000,35000,35000,35000,35000,35000,35000,35000,35700,35700,35700,35700,35700,35700,36300,36300,36300,36300,36300
19900,19900,20900,23200,23200,23200,23200,23200,26800,26800,26800,26800,27600,27600,27600,27600,27600,27600,27800,27800,27800,27800,27800,27800,27800,28900,28900,28900,28900,28900,28900,29500,30900,30900,30900,30900,30900,30900,30900,30900,30900,30900,30900,30900,30900,30900,30900,30900,32800,32800,32800,32800,32800,32800,32800,32800,32800,32800,32800,32800,36000,36000,36000,36000,36000,36000,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,38600,38600,38600,38600,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100,39100
23300,23600,23600,26200,26200,26200,26200,26400,27600,27700,27700,27700,27700,27700,27900,27900,27900,27900,29100,29100,30500,30500,30500,30500,31800,31800,31800,31800,31800,31800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33800,33900,35800,35800,35800,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36200,36300,36300,36300,36300,36300,36300,38500,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39100,40900,40900,40900,40900,40900
21200,21200,21200,21200,21200,23100,23700,23700,23700,23700,23800,24400,24900,24900,24900,26000,26000,26900,26900,26900,28000,28000,29600,29600,30300,30400,30400,30500,33800,33800,33800,33800,33800,33900,33900,33900,33900,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,34600,35800,37700,37700,37700,38500,38500,38500,38500,38500,38500,41100,41100,41100,41100,41100,41200,41200,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,41600,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500
23700,23900,28300,28300,28300,28300,28300,28300,28300,28300,28300,29400,29400,29400,29400,29400,29400,29400,29900,29900,30700,31900,31900,31900,31900,31900,31900,31900,31900,35200,35200,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,38100,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40400,40500,40500,40500,41900,41900,41900,41900,41900,41900,41900,41900,41900,42300,42300,42300,42300,42300,42300,44100,44100
